29,2,1702631442300,500
17,1,1702631418120,625
3,2,1702631443040,150
30,2,1702631442970,450
3,1,1702631443080,875
28,2,1702631441840,625
63,1,1702631442680,200
2,2,1702631442450,150
2,1,1702631442460,1000
28,1,1702631441860,4500
5,2,1702631444600,350
31,1,1702631443560,4500
4,2,1702631444120,250
68,1,1702631444880,250
3,2,1702631443670,200
32,1,1702631444120,4500
31,2,1702631443540,500
30,1,1702631443000,4500
17,1,1702631421100,750
2,2,1702631443200,200
33,2,1702631444670,500
2,2,1702631445360,100
6,1,1702631444980,875
66,1,1702631444010,200
32,2,1702631444090,500
17,1,1702631422570,200
70,1,1702631445780,250
7,1,1702631445600,875
1,2,1702631445870,100
3,2,1702631444860,100
6,2,1702631445040,400
34,2,1702631445240,500
8,1,1702631446190,875
8,2,1702631445970,300
36,2,1702631446370,500
36,1,1702631446390,4500
34,1,1702631445260,4500
7,2,1702631445510,400
37,1,1702631446960,4500
10,1,1702631447530,875
35,2,1702631445800,500
35,1,1702631445830,4500
37,2,1702631446920,625
12,2,1702631447800,250
10,2,1702631446890,250
17,1,1702631425150,625
14,2,1702631448590,200
12,1,1702631448790,1000
38,2,1702631447500,625
13,2,1702631448250,250
15,2,1702631449140,200
38,1,1702631447530,3334
17,1,1702631427070,750
39,1,1702631448080,3334
16,2,1702631449590,150
13,1,1702631449420,2167
40,2,1702631448610,500
39,2,1702631448040,625
14,2,1702631450050,150
17,2,1702631450030,150
14,1,1702631449940,1000
1,1,1702631451130,100
20,2,1702631451350,150
42,2,1702631449750,625
43,2,1702631450330,625
42,1,1702631449780,3334
41,2,1702631449180,625
15,2,1702631450680,150
17,1,1702631427730,200
17,1,1702631429140,625
16,2,1702631451320,150
44,2,1702631450860,625
2,1,1702631451630,100
3,2,1702631452050,200
16,1,1702631451220,2167
19,2,1702631450920,150
1,2,1702631451080,200
12,2,1702631448710,150
45,2,1702631451570,625
43,1,1702631450210,3334
21,2,1702631451780,150
4,2,1702631452520,200
23,2,1702631452660,150
5,2,1702631453020,200
22,2,1702631452220,150
44,1,1702631450850,3334
18,2,1702631450470,150
45,1,1702631451570,3334
1,1,1702631452910,500
17,1,1702631429730,200
13,2,1702631449420,150
6,1,1702631453550,100
3,1,1702631452120,100
47,2,1702631452690,625
1,2,1702631452870,100
47,1,1702631452710,3334
2,2,1702631453530,100
17,2,1702631451970,150
24,2,1702631453100,150
46,2,1702631452120,625
20,2,1702631453910,150
7,2,1702631453980,200
25,2,1702631453530,150
18,1,1702631452520,2167
18,2,1702631452600,150
3,2,1702631454080,100
7,1,1702631454030,100
26,2,1702631453980,150
48,2,1702631453230,625
8,2,1702631454450,200
8,1,1702631454460,100
49,2,1702631453820,625
27,2,1702631454420,150
48,1,1702631452620,3334
28,2,1702631454860,150
50,2,1702631454390,625
10,2,1702631455410,200
19,2,1702631453240,150
17,1,1702631430710,450
